country,county,updatedAt,stats,coordinates,province
Cyprus,,2020-08-17 04:27:20,"{'confirmed': 1339, 'deaths': 20, 'recovered': 870}","{'latitude': '35.1264', 'longitude': '33.4299'}",
Czechia,,2020-08-17 04:27:20,"{'confirmed': 20012, 'deaths': 397, 'recovered': 13799}","{'latitude': '49.8175', 'longitude': '15.473'}",
Denmark,,2020-08-17 04:27:20,"{'confirmed': 372, 'deaths': 0, 'recovered': 225}","{'latitude': '61.8926', 'longitude': '-6.9118'}",Faroe Islands
Denmark,,2020-08-17 04:27:20,"{'confirmed': 14, 'deaths': 0, 'recovered': 14}","{'latitude': '71.7069', 'longitude': '-42.6043'}",Greenland
Denmark,,2020-08-17 04:27:20,"{'confirmed': 15617, 'deaths': 621, 'recovered': 13340}","{'latitude': '56.2639', 'longitude': '9.5018'}",
Diamond Princess,,2020-08-17 04:27:20,"{'confirmed': 712, 'deaths': 13, 'recovered': 651}","{'latitude': '', 'longitude': ''}",
Djibouti,,2020-08-17 04:27:20,"{'confirmed': 5369, 'deaths': 59, 'recovered': 5202}","{'latitude': '11.8251', 'longitude': '42.5903'}",
Dominica,,2020-08-17 04:27:20,"{'confirmed': 18, 'deaths': 0, 'recovered': 18}","{'latitude': '15.415', 'longitude': '-61.371'}",
Dominican Republic,,2020-08-17 04:27:20,"{'confirmed': 86309, 'deaths': 1453, 'recovered': 52905}","{'latitude': '18.7357', 'longitude': '-70.1627'}",
Ecuador,,2020-08-17 04:27:20,"{'confirmed': 101542, 'deaths': 6070, 'recovered': 87022}","{'latitude': '-1.8312', 'longitude': '-78.1834'}",
Egypt,,2020-08-17 04:27:20,"{'confirmed': 96475, 'deaths': 5160, 'recovered': 59743}","{'latitude': '26.820553000000004', 'longitude': '30.802498'}",
El Salvador,,2020-08-17 04:27:20,"{'confirmed': 22912, 'deaths': 612, 'recovered': 10807}","{'latitude': '13.7942', 'longitude': '-88.8965'}",
Equatorial Guinea,,2020-08-17 04:27:20,"{'confirmed': 4821, 'deaths': 83, 'recovered': 2182}","{'latitude': '1.6508', 'longitude': '10.2679'}",
Eritrea,,2020-08-17 04:27:20,"{'confirmed': 285, 'deaths': 0, 'recovered': 248}","{'latitude': '15.1794', 'longitude': '39.7823'}",
Estonia,,2020-08-17 04:27:20,"{'confirmed': 2190, 'deaths': 63, 'recovered': 1976}","{'latitude': '58.5953', 'longitude': '25.0136'}",
Eswatini,,2020-08-17 04:27:20,"{'confirmed': 3839, 'deaths': 70, 'recovered': 2268}","{'latitude': '-26.5225', 'longitude': '31.4659'}",
Ethiopia,,2020-08-17 04:27:20,"{'confirmed': 29876, 'deaths': 528, 'recovered': 12359}","{'latitude': '9.145', 'longitude': '40.4897'}",
Fiji,,2020-08-17 04:27:20,"{'confirmed': 28, 'deaths': 1, 'recovered': 20}","{'latitude': '-17.7134', 'longitude': '178.065'}",
Finland,,2020-08-17 04:27:20,"{'confirmed': 7731, 'deaths': 333, 'recovered': 7050}","{'latitude': '61.92411', 'longitude': '25.748151'}",
France,,2020-08-17 04:27:20,"{'confirmed': 8588, 'deaths': 53, 'recovered': 7893}","{'latitude': '4.0', 'longitude': '-53.0'}",French Guiana
France,,2020-08-17 04:27:20,"{'confirmed': 166, 'deaths': 0, 'recovered': 64}","{'latitude': '-17.6797', 'longitude': '-149.4068'}",French Polynesia
France,,2020-08-17 04:27:20,"{'confirmed': 446, 'deaths': 14, 'recovered': 289}","{'latitude': '16.265', 'longitude': '-61.551'}",Guadeloupe
France,,2020-08-17 04:27:20,"{'confirmed': 336, 'deaths': 16, 'recovered': 98}","{'latitude': '14.6415', 'longitude': '-61.0242'}",Martinique
France,,2020-08-17 04:27:20,"{'confirmed': 3119, 'deaths': 39, 'recovered': 2940}","{'latitude': '-12.8275', 'longitude': '45.166244'}",Mayotte
France,,2020-08-17 04:27:20,"{'confirmed': 23, 'deaths': 0, 'recovered': 22}","{'latitude': '-20.904305', 'longitude': '165.618042'}",New Caledonia
France,,2020-08-17 04:27:20,"{'confirmed': 855, 'deaths': 5, 'recovered': 657}","{'latitude': '-21.1151', 'longitude': '55.5364'}",Reunion
France,,2020-08-17 04:27:20,"{'confirmed': 13, 'deaths': 0, 'recovered': 9}","{'latitude': '17.9', 'longitude': '-62.8333'}",Saint Barthelemy
France,,2020-08-17 04:27:20,"{'confirmed': 4, 'deaths': 0, 'recovered': 1}","{'latitude': '46.8852', 'longitude': '-56.3159'}",Saint Pierre and Miquelon
France,,2020-08-17 04:27:20,"{'confirmed': 109, 'deaths': 4, 'recovered': 49}","{'latitude': '18.0708', 'longitude': '-63.0501'}",St Martin
France,,2020-08-17 04:27:20,"{'confirmed': 239306, 'deaths': 30279, 'recovered': 71971}","{'latitude': '46.2276', 'longitude': '2.2137'}",
Gabon,,2020-08-17 04:27:20,"{'confirmed': 8225, 'deaths': 51, 'recovered': 6277}","{'latitude': '-0.8037', 'longitude': '11.6094'}",
Gambia,,2020-08-17 04:27:20,"{'confirmed': 1872, 'deaths': 63, 'recovered': 401}","{'latitude': '13.4432', 'longitude': '-15.3101'}",
Georgia,,2020-08-17 04:27:20,"{'confirmed': 1336, 'deaths': 17, 'recovered': 1088}","{'latitude': '42.3154', 'longitude': '43.3569'}",
Germany,,2020-08-17 04:27:20,"{'confirmed': 38480, 'deaths': 1859, 'recovered': 35500}","{'latitude': '48.6616', 'longitude': '9.3501'}",Baden-Wurttemberg
Germany,,2020-08-17 04:27:20,"{'confirmed': 52888, 'deaths': 2631, 'recovered': 48500}","{'latitude': '48.7904', 'longitude': '11.4979'}",Bayern
Germany,,2020-08-17 04:27:20,"{'confirmed': 10252, 'deaths': 224, 'recovered': 9273}","{'latitude': '52.52', 'longitude': '13.405'}",Berlin
Germany,,2020-08-17 04:27:20,"{'confirmed': 3735, 'deaths': 173, 'recovered': 3410}","{'latitude': '52.4125', 'longitude': '12.5316'}",Brandenburg
Germany,,2020-08-17 04:27:20,"{'confirmed': 1841, 'deaths': 56, 'recovered': 1721}","{'latitude': '53.0793', 'longitude': '8.8017'}",Bremen
Germany,,2020-08-17 04:27:20,"{'confirmed': 5886, 'deaths': 264, 'recovered': 5100}","{'latitude': '53.5511', 'longitude': '9.9937'}",Hamburg
Germany,,2020-08-17 04:27:20,"{'confirmed': 13433, 'deaths': 526, 'recovered': 11715}","{'latitude': '50.6521', 'longitude': '9.1624'}",Hessen
Germany,,2020-08-17 04:27:20,"{'confirmed': 973, 'deaths': 20, 'recovered': 877}","{'latitude': '53.6127', 'longitude': '12.4296'}",Mecklenburg-Vorpommern
Germany,,2020-08-17 04:27:20,"{'confirmed': 15399, 'deaths': 656, 'recovered': 13800}","{'latitude': '52.6367', 'longitude': '9.8451'}",Niedersachsen
Germany,,2020-08-17 04:27:20,"{'confirmed': 54390, 'deaths': 1777, 'recovered': 47500}","{'latitude': '51.4332', 'longitude': '7.6616'}",Nordrhein-Westfalen
Germany,,2020-08-17 04:27:20,"{'confirmed': 8141, 'deaths': 242, 'recovered': 7324}","{'latitude': '50.1183', 'longitude': '7.309'}",Rheinland-Pfalz
Germany,,2020-08-17 04:27:20,"{'confirmed': 3000, 'deaths': 174, 'recovered': 2695}","{'latitude': '49.3964', 'longitude': '7.023'}",Saarland
Germany,,2020-08-17 04:27:20,"{'confirmed': 5730, 'deaths': 225, 'recovered': 5310}","{'latitude': '51.1045', 'longitude': '13.2017'}",Sachsen
Germany,,2020-08-17 04:27:20,"{'confirmed': 2123, 'deaths': 64, 'recovered': 1952}","{'latitude': '51.9503', 'longitude': '11.6923'}",Sachsen-Anhalt
Germany,,2020-08-17 04:27:20,"{'confirmed': 3790, 'deaths': 158, 'recovered': 3300}","{'latitude': '54.2194', 'longitude': '9.6961'}",Schleswig-Holstein
Germany,,2020-08-17 04:27:20,"{'confirmed': 3496, 'deaths': 186, 'recovered': 3210}","{'latitude': '51.011', 'longitude': '10.8453'}",Thuringen
Germany,,2020-08-17 04:27:20,"{'confirmed': 1450, 'deaths': 0, 'recovered': 0}","{'latitude': '', 'longitude': ''}",Unknown
Ghana,,2020-08-17 04:27:20,"{'confirmed': 42532, 'deaths': 231, 'recovered': 40362}","{'latitude': '7.9465', 'longitude': '-1.0232'}",
Greece,,2020-08-17 04:27:20,"{'confirmed': 7075, 'deaths': 228, 'recovered': 1347}","{'latitude': '39.0742', 'longitude': '21.8243'}",
Grenada,,2020-08-17 04:27:20,"{'confirmed': 24, 'deaths': 0, 'recovered': 23}","{'latitude': '12.1165', 'longitude': '-61.679'}",
Guatemala,,2020-08-17 04:27:20,"{'confirmed': 62562, 'deaths': 2379, 'recovered': 50692}","{'latitude': '15.7835', 'longitude': '-90.2308'}",
Guinea,,2020-08-17 04:27:20,"{'confirmed': 8482, 'deaths': 51, 'recovered': 7364}","{'latitude': '9.9456', 'longitude': '-9.6966'}",
Guinea-Bissau,,2020-08-17 04:27:20,"{'confirmed': 2117, 'deaths': 33, 'recovered': 1015}","{'latitude': '11.8037', 'longitude': '-15.1804'}",
Guyana,,2020-08-17 04:27:20,"{'confirmed': 709, 'deaths': 23, 'recovered': 349}","{'latitude': '4.860416000000002', 'longitude': '-58.93018000000001'}",
Haiti,,2020-08-17 04:27:20,"{'confirmed': 7879, 'deaths': 196, 'recovered': 5235}","{'latitude': '18.9712', 'longitude': '-72.2852'}",
Holy See,,2020-08-17 04:27:20,"{'confirmed': 12, 'deaths': 0, 'recovered': 12}","{'latitude': '41.9029', 'longitude': '12.4534'}",
Honduras,,2020-08-17 04:27:20,"{'confirmed': 50502, 'deaths': 1575, 'recovered': 7339}","{'latitude': '15.2', 'longitude': '-86.2419'}",
Hungary,,2020-08-17 04:27:20,"{'confirmed': 4916, 'deaths': 608, 'recovered': 3623}","{'latitude': '47.1625', 'longitude': '19.5033'}",
Iceland,,2020-08-17 04:27:20,"{'confirmed': 2011, 'deaths': 10, 'recovered': 1880}","{'latitude': '64.9631', 'longitude': '-19.0208'}",
India,,2020-08-17 04:27:20,"{'confirmed': 2399, 'deaths': 28, 'recovered': 1226}","{'latitude': '11.225999', 'longitude': '92.968178'}",Andaman and Nicobar Islands
India,,2020-08-17 04:27:20,"{'confirmed': 289829, 'deaths': 2650, 'recovered': 201234}","{'latitude': '15.9129', 'longitude': '79.74'}",Andhra Pradesh
India,,2020-08-17 04:27:20,"{'confirmed': 2701, 'deaths': 5, 'recovered': 1808}","{'latitude': '27.768456', 'longitude': '96.384277'}",Arunachal Pradesh
India,,2020-08-17 04:27:20,"{'confirmed': 76875, 'deaths': 189, 'recovered': 55215}","{'latitude': '26.357149', 'longitude': '92.830441'}",Assam
India,,2020-08-17 04:27:20,"{'confirmed': 103844, 'deaths': 461, 'recovered': 72324}","{'latitude': '25.679658', 'longitude': '85.60484'}",Bihar
India,,2020-08-17 04:27:20,"{'confirmed': 2102, 'deaths': 29, 'recovered': 1137}","{'latitude': '30.733839', 'longitude': '76.76827800000002'}",Chandigarh
India,,2020-08-17 04:27:20,"{'confirmed': 15471, 'deaths': 141, 'recovered': 10235}","{'latitude': '21.264705', 'longitude': '82.035366'}",Chhattisgarh
India,,2020-08-17 04:27:20,"{'confirmed': 1878, 'deaths': 2, 'recovered': 1431}","{'latitude': '20.194742', 'longitude': '73.080901'}",Dadra and Nagar Haveli and Daman and Diu
India,,2020-08-17 04:27:20,"{'confirmed': 152580, 'deaths': 4196, 'recovered': 137561}","{'latitude': '28.646519', 'longitude': '77.10898'}",Delhi
India,,2020-08-17 04:27:20,"{'confirmed': 11639, 'deaths': 104, 'recovered': 7775}","{'latitude': '15.359682', 'longitude': '74.057396'}",Goa
India,,2020-08-17 04:27:20,"{'confirmed': 78680, 'deaths': 2785, 'recovered': 61512}","{'latitude': '22.694884', 'longitude': '71.590923'}",Gujarat
India,,2020-08-17 04:27:20,"{'confirmed': 47153, 'deaths': 538, 'recovered': 39601}","{'latitude': '29.20004', 'longitude': '76.332824'}",Haryana
India,,2020-08-17 04:27:20,"{'confirmed': 4156, 'deaths': 19, 'recovered': 2720}","{'latitude': '31.927213', 'longitude': '77.233081'}",Himachal Pradesh
India,,2020-08-17 04:27:20,"{'confirmed': 28470, 'deaths': 542, 'recovered': 20943}","{'latitude': '33.75943', 'longitude': '76.612638'}",Jammu and Kashmir
India,,2020-08-17 04:27:20,"{'confirmed': 23055, 'deaths': 244, 'recovered': 14699}","{'latitude': '23.654536', 'longitude': '85.557631'}",Jharkhand
India,,2020-08-17 04:27:20,"{'confirmed': 226966, 'deaths': 3947, 'recovered': 141491}","{'latitude': '14.70518', 'longitude': '76.166436'}",Karnataka
India,,2020-08-17 04:27:20,"{'confirmed': 44415, 'deaths': 156, 'recovered': 28894}","{'latitude': '10.450898', 'longitude': '76.405749'}",Kerala
India,,2020-08-17 04:27:20,"{'confirmed': 1948, 'deaths': 14, 'recovered': 1356}","{'latitude': '34.1526', 'longitude': '77.5771'}",Ladakh
India,,2020-08-17 04:27:20,"{'confirmed': 0, 'deaths': 0, 'recovered': 0}","{'latitude': '13.6999972', 'longitude': '72.18333259999999'}",Lakshadweep
India,,2020-08-17 04:27:20,"{'confirmed': 45455, 'deaths': 1105, 'recovered': 34038}","{'latitude': '23.541513', 'longitude': '78.289633'}",Madhya Pradesh
India,,2020-08-17 04:27:20,"{'confirmed': 595865, 'deaths': 20037, 'recovered': 417123}","{'latitude': '19.449759', 'longitude': '76.108221'}",Maharashtra
India,,2020-08-17 04:27:20,"{'confirmed': 4569, 'deaths': 16, 'recovered': 2632}","{'latitude': '24.738975', 'longitude': '93.882541'}",Manipur
India,,2020-08-17 04:27:20,"{'confirmed': 1374, 'deaths': 6, 'recovered': 675}","{'latitude': '25.536934', 'longitude': '91.278882'}",Meghalaya
India,,2020-08-17 04:27:20,"{'confirmed': 789, 'deaths': 0, 'recovered': 371}","{'latitude': '23.309381', 'longitude': '92.83822'}",Mizoram
India,,2020-08-17 04:27:20,"{'confirmed': 3394, 'deaths': 8, 'recovered': 1422}","{'latitude': '26.06702', 'longitude': '94.470302'}",Nagaland
India,,2020-08-17 04:27:20,"{'confirmed': 60050, 'deaths': 343, 'recovered': 42277}","{'latitude': '20.505428', 'longitude': '84.418059'}",Odisha
India,,2020-08-17 04:27:20,"{'confirmed': 7732, 'deaths': 110, 'recovered': 4443}","{'latitude': '11.882658', 'longitude': '78.86498'}",Puducherry
India,,2020-08-17 04:27:20,"{'confirmed': 31206, 'deaths': 812, 'recovered': 19431}","{'latitude': '30.841465000000003', 'longitude': '75.40879'}",Punjab
India,,2020-08-17 04:27:20,"{'confirmed': 61296, 'deaths': 876, 'recovered': 46604}","{'latitude': '26.583423', 'longitude': '73.847973'}",Rajasthan
India,,2020-08-17 04:27:20,"{'confirmed': 1167, 'deaths': 1, 'recovered': 673}","{'latitude': '27.571671', 'longitude': '88.472712'}",Sikkim
India,,2020-08-17 04:27:20,"{'confirmed': 338055, 'deaths': 5766, 'recovered': 278270}","{'latitude': '11.006091', 'longitude': '78.400624'}",Tamil Nadu
India,,2020-08-17 04:27:20,"{'confirmed': 92255, 'deaths': 703, 'recovered': 70132}","{'latitude': '18.1124', 'longitude': '79.0193'}",Telangana
India,,2020-08-17 04:27:20,"{'confirmed': 7204, 'deaths': 59, 'recovered': 5286}","{'latitude': '23.746783', 'longitude': '91.743565'}",Tripura
India,,2020-08-17 04:27:20,"{'confirmed': 0, 'deaths': 0, 'recovered': 0}","{'latitude': '', 'longitude': ''}",Unknown
India,,2020-08-17 04:27:20,"{'confirmed': 154418, 'deaths': 2449, 'recovered': 100432}","{'latitude': '26.925425', 'longitude': '80.560982'}",Uttar Pradesh
India,,2020-08-17 04:27:20,"{'confirmed': 12175, 'deaths': 152, 'recovered': 8100}","{'latitude': '30.156447', 'longitude': '79.197608'}",Uttarakhand
India,,2020-08-17 04:27:20,"{'confirmed': 116498, 'deaths': 2428, 'recovered': 86771}","{'latitude': '23.814082', 'longitude': '87.979803'}",West Bengal
Indonesia,,2020-08-17 04:27:20,"{'confirmed': 139549, 'deaths': 6150, 'recovered': 93103}","{'latitude': '-0.7893', 'longitude': '113.9213'}",
Iran,,2020-08-17 04:27:20,"{'confirmed': 343203, 'deaths': 19639, 'recovered': 297486}","{'latitude': '32.427908', 'longitude': '53.68804599999999'}",
Iraq,,2020-08-17 04:27:20,"{'confirmed': 176931, 'deaths': 5860, 'recovered': 125374}","{'latitude': '33.223191', 'longitude': '43.679291'}",
Ireland,,2020-08-17 04:27:20,"{'confirmed': 27257, 'deaths': 1774, 'recovered': 23364}","{'latitude': '53.1424', 'longitude': '-7.6921'}",
Israel,,2020-08-17 04:27:20,"{'confirmed': 92680, 'deaths': 685, 'recovered': 68510}","{'latitude': '31.046051', 'longitude': '34.851612'}",
Italy,,2020-08-17 04:27:20,"{'confirmed': 3560, 'deaths': 472, 'recovered': 2834}","{'latitude': '42.35122196', 'longitude': '13.39843823'}",Abruzzo
Italy,,2020-08-17 04:27:20,"{'confirmed': 485, 'deaths': 28, 'recovered': 392}","{'latitude': '40.63947052', 'longitude': '15.80514834'}",Basilicata
Italy,,2020-08-17 04:27:20,"{'confirmed': 1348, 'deaths': 97, 'recovered': 1105}","{'latitude': '38.90597598', 'longitude': '16.59440194'}",Calabria
Italy,,2020-08-17 04:27:20,"{'confirmed': 5278, 'deaths': 440, 'recovered': 4305}","{'latitude': '40.83956555', 'longitude': '14.25084984'}",Campania
Italy,,2020-08-17 04:27:20,"{'confirmed': 30436, 'deaths': 4453, 'recovered': 24178}","{'latitude': '44.49436681', 'longitude': '11.3417208'}",Emilia-Romagna
Italy,,2020-08-17 04:27:20,"{'confirmed': 3507, 'deaths': 348, 'recovered': 2963}","{'latitude': '45.6494354', 'longitude': '13.76813649'}",Friuli Venezia Giulia
Italy,,2020-08-17 04:27:20,"{'confirmed': 9127, 'deaths': 870, 'recovered': 6973}","{'latitude': '41.89277044', 'longitude': '12.48366722'}",Lazio
Italy,,2020-08-17 04:27:20,"{'confirmed': 10458, 'deaths': 1569, 'recovered': 8604}","{'latitude': '44.41149315', 'longitude': '8.9326992'}",Liguria
Italy,,2020-08-17 04:27:20,"{'confirmed': 97380, 'deaths': 16840, 'recovered': 75163}","{'latitude': '45.46679409', 'longitude': '9.190347404'}",Lombardia
Italy,,2020-08-17 04:27:20,"{'confirmed': 7035, 'deaths': 987, 'recovered': 5854}","{'latitude': '43.61675973', 'longitude': '13.5188753'}",Marche
Italy,,2020-08-17 04:27:20,"{'confirmed': 487, 'deaths': 23, 'recovered': 429}","{'latitude': '41.55774754', 'longitude': '14.65916051'}",Molise
Italy,,2020-08-17 04:27:20,"{'confirmed': 2802, 'deaths': 292, 'recovered': 2381}","{'latitude': '46.49933453', 'longitude': '11.35662422'}",P.A. Bolzano
Italy,,2020-08-17 04:27:20,"{'confirmed': 5003, 'deaths': 405, 'recovered': 4539}","{'latitude': '46.06893511', 'longitude': '11.12123097'}",P.A. Trento
Italy,,2020-08-17 04:27:20,"{'confirmed': 32084, 'deaths': 4139, 'recovered': 27080}","{'latitude': '45.0732745', 'longitude': '7.680687483'}",Piemonte
Italy,,2020-08-17 04:27:20,"{'confirmed': 4858, 'deaths': 554, 'recovered': 3981}","{'latitude': '41.12559576', 'longitude': '16.86736689'}",Puglia
Italy,,2020-08-17 04:27:20,"{'confirmed': 1493, 'deaths': 134, 'recovered': 1254}","{'latitude': '39.21531192', 'longitude': '9.110616306'}",Sardegna
Italy,,2020-08-17 04:27:20,"{'confirmed': 3766, 'deaths': 285, 'recovered': 2769}","{'latitude': '38.11569725', 'longitude': '13.362356699999998'}",Sicilia
Italy,,2020-08-17 04:27:20,"{'confirmed': 10833, 'deaths': 1138, 'recovered': 9028}","{'latitude': '43.76923077', 'longitude': '11.25588885'}",Toscana
Italy,,2020-08-17 04:27:20,"{'confirmed': 1548, 'deaths': 80, 'recovered': 1385}","{'latitude': '43.10675841', 'longitude': '12.38824698'}",Umbria
Italy,,2020-08-17 04:27:20,"{'confirmed': 1217, 'deaths': 146, 'recovered': 1062}","{'latitude': '45.73750286', 'longitude': '7.320149366'}",Valle d'Aosta
Italy,,2020-08-17 04:27:20,"{'confirmed': 21210, 'deaths': 2096, 'recovered': 17507}","{'latitude': '45.43490485', 'longitude': '12.33845213'}",Veneto
Jamaica,,2020-08-17 04:27:20,"{'confirmed': 1113, 'deaths': 14, 'recovered': 764}","{'latitude': '18.1096', 'longitude': '-77.2975'}",
Japan,,2020-08-17 04:27:20,"{'confirmed': 3743, 'deaths': 44, 'recovered': 1913}","{'latitude': '35.035551', 'longitude': '137.211621'}",Aichi
Japan,,2020-08-17 04:27:20,"{'confirmed': 42, 'deaths': 0, 'recovered': 25}","{'latitude': '39.748679', 'longitude': '140.408228'}",Akita
Japan,,2020-08-17 04:27:20,"{'confirmed': 36, 'deaths': 1, 'recovered': 31}","{'latitude': '40.781541', 'longitude': '140.828896'}",Aomori
Japan,,2020-08-17 04:27:20,"{'confirmed': 2460, 'deaths': 56, 'recovered': 1867}","{'latitude': '35.510141', 'longitude': '140.198917'}",Chiba
Japan,,2020-08-17 04:27:20,"{'confirmed': 110, 'deaths': 6, 'recovered': 91}","{'latitude': '33.624835', 'longitude': '132.856842'}",Ehime
Japan,,2020-08-17 04:27:20,"{'confirmed': 155, 'deaths': 8, 'recovered': 138}","{'latitude': '35.846614', 'longitude': '136.22465400000002'}",Fukui
Japan,,2020-08-17 04:27:20,"{'confirmed': 3634, 'deaths': 41, 'recovered': 2250}","{'latitude': '33.526032', 'longitude': '130.666949'}",Fukuoka
Japan,,2020-08-17 04:27:20,"{'confirmed': 105, 'deaths': 0, 'recovered': 89}","{'latitude': '37.378867', 'longitude': '140.223295'}",Fukushima
Japan,,2020-08-17 04:27:20,"{'confirmed': 512, 'deaths': 7, 'recovered': 414}","{'latitude': '35.778671', 'longitude': '137.055925'}",Gifu
Japan,,2020-08-17 04:27:20,"{'confirmed': 298, 'deaths': 19, 'recovered': 177}","{'latitude': '36.504479', 'longitude': '138.985605'}",Gunma
Japan,,2020-08-17 04:27:20,"{'confirmed': 434, 'deaths': 3, 'recovered': 360}","{'latitude': '34.605309000000005', 'longitude': '132.788719'}",Hiroshima
Japan,,2020-08-17 04:27:20,"{'confirmed': 1616, 'deaths': 103, 'recovered': 1368}","{'latitude': '43.385711', 'longitude': '142.552318'}",Hokkaido
Japan,,2020-08-17 04:27:20,"{'confirmed': 1902, 'deaths': 48, 'recovered': 1490}","{'latitude': '35.039913', 'longitude': '134.828057'}",Hyogo
Japan,,2020-08-17 04:27:20,"{'confirmed': 452, 'deaths': 10, 'recovered': 345}","{'latitude': '36.303588', 'longitude': '140.319591'}",Ibaraki
Japan,,2020-08-17 04:27:20,"{'confirmed': 456, 'deaths': 29, 'recovered': 298}","{'latitude': '36.769464', 'longitude': '136.771027'}",Ishikawa
Japan,,2020-08-17 04:27:20,"{'confirmed': 9, 'deaths': 0, 'recovered': 2}","{'latitude': '39.593287', 'longitude': '141.361777'}",Iwate
Japan,,2020-08-17 04:27:20,"{'confirmed': 65, 'deaths': 0, 'recovered': 50}","{'latitude': '34.217292', 'longitude': '133.969047'}",Kagawa
Japan,,2020-08-17 04:27:20,"{'confirmed': 325, 'deaths': 6, 'recovered': 242}","{'latitude': '31.009484000000004', 'longitude': '130.430665'}",Kagoshima
Japan,,2020-08-17 04:27:20,"{'confirmed': 3856, 'deaths': 105, 'recovered': 3076}","{'latitude': '35.415312', 'longitude': '139.338983'}",Kanagawa
Japan,,2020-08-17 04:27:20,"{'confirmed': 102, 'deaths': 3, 'recovered': 79}","{'latitude': '33.422519', 'longitude': '133.367307'}",Kochi
Japan,,2020-08-17 04:27:20,"{'confirmed': 406, 'deaths': 6, 'recovered': 234}","{'latitude': '32.608154', 'longitude': '130.74523100000002'}",Kumamoto
Japan,,2020-08-17 04:27:20,"{'confirmed': 1119, 'deaths': 21, 'recovered': 832}","{'latitude': '35.253815', 'longitude': '135.443341'}",Kyoto
Japan,,2020-08-17 04:27:20,"{'confirmed': 283, 'deaths': 1, 'recovered': 149}","{'latitude': '34.508018', 'longitude': '136.376013'}",Mie
Japan,,2020-08-17 04:27:20,"{'confirmed': 184, 'deaths': 1, 'recovered': 171}","{'latitude': '38.446859', 'longitude': '140.927086'}",Miyagi
Japan,,2020-08-17 04:27:20,"{'confirmed': 288, 'deaths': 1, 'recovered': 178}","{'latitude': '32.193203999999994', 'longitude': '131.299374'}",Miyazaki
Japan,,2020-08-17 04:27:20,"{'confirmed': 147, 'deaths': 0, 'recovered': 114}","{'latitude': '36.132134', 'longitude': '138.045528'}",Nagano
Japan,,2020-08-17 04:27:20,"{'confirmed': 185, 'deaths': 3, 'recovered': 36}","{'latitude': '33.235712', 'longitude': '129.608033'}",Nagasaki
Japan,,2020-08-17 04:27:20,"{'confirmed': 394, 'deaths': 3, 'recovered': 295}","{'latitude': '34.317451', 'longitude': '135.871644'}",Nara
Japan,,2020-08-17 04:27:20,"{'confirmed': 128, 'deaths': 0, 'recovered': 121}","{'latitude': '37.521819', 'longitude': '138.918647'}",Niigata
Japan,,2020-08-17 04:27:20,"{'confirmed': 103, 'deaths': 1, 'recovered': 76}","{'latitude': '33.200697', 'longitude': '131.43323999999998'}",Oita
Japan,,2020-08-17 04:27:20,"{'confirmed': 126, 'deaths': 0, 'recovered': 90}","{'latitude': '34.89246', 'longitude': '133.826252'}",Okayama
Japan,,2020-08-17 04:27:20,"{'confirmed': 1623, 'deaths': 13, 'recovered': 1092}","{'latitude': '25.768923', 'longitude': '126.668016'}",Okinawa
Japan,,2020-08-17 04:27:20,"{'confirmed': 6845, 'deaths': 106, 'recovered': 4892}","{'latitude': '34.620965000000005', 'longitude': '135.507481'}",Osaka
Japan,,2020-08-17 04:27:20,"{'confirmed': 706, 'deaths': 1, 'recovered': 299}","{'latitude': '', 'longitude': ''}",Port Quarantine
Japan,,2020-08-17 04:27:20,"{'confirmed': 193, 'deaths': 0, 'recovered': 117}","{'latitude': '33.286977', 'longitude': '130.115738'}",Saga
Japan,,2020-08-17 04:27:20,"{'confirmed': 3224, 'deaths': 82, 'recovered': 2510}","{'latitude': '35.997101', 'longitude': '139.347635'}",Saitama
Japan,,2020-08-17 04:27:20,"{'confirmed': 337, 'deaths': 4, 'recovered': 210}","{'latitude': '35.21582700000001', 'longitude': '136.138064'}",Shiga
Japan,,2020-08-17 04:27:20,"{'confirmed': 132, 'deaths': 0, 'recovered': 29}","{'latitude': '35.07076', 'longitude': '132.55406399999998'}",Shimane
Japan,,2020-08-17 04:27:20,"{'confirmed': 417, 'deaths': 1, 'recovered': 319}","{'latitude': '34.916975', 'longitude': '138.40778400000002'}",Shizuoka
Japan,,2020-08-17 04:27:20,"{'confirmed': 276, 'deaths': 1, 'recovered': 213}","{'latitude': '36.689912', 'longitude': '139.819213'}",Tochigi
Japan,,2020-08-17 04:27:20,"{'confirmed': 90, 'deaths': 1, 'recovered': 27}","{'latitude': '33.919178', 'longitude': '134.242091'}",Tokushima
Japan,,2020-08-17 04:27:20,"{'confirmed': 17724, 'deaths': 340, 'recovered': 13596}","{'latitude': '35.711343', 'longitude': '139.446921'}",Tokyo
Japan,,2020-08-17 04:27:20,"{'confirmed': 21, 'deaths': 0, 'recovered': 8}","{'latitude': '35.359069', 'longitude': '133.863619'}",Tottori
Japan,,2020-08-17 04:27:20,"{'confirmed': 308, 'deaths': 22, 'recovered': 236}","{'latitude': '36.637464', 'longitude': '137.26934599999998'}",Toyama
Japan,,2020-08-17 04:27:20,"{'confirmed': 8, 'deaths': 0, 'recovered': 8}","{'latitude': '', 'longitude': ''}",Unknown
Japan,,2020-08-17 04:27:20,"{'confirmed': 196, 'deaths': 4, 'recovered': 165}","{'latitude': '33.911879', 'longitude': '135.505446'}",Wakayama
